X,Y,Z
806.0000538825989,509.99492181902343,164.6339698511956
839.0000462532043,95.54034508895812,293.05676376706947
834.0000510215759,302.6866018814219,293.47024800901664
834.0000510215759,146.89988195375665,86.11532609482104
836.0000252723694,218.8256281188744,294.17400448801567
838.0000591278076,-189.3782620657579,45.29252499222784
834.0000510215759,-149.5276267974953,289.1503538024709
825.0000476837158,-28.0541327841339,367.222281222938
843.000054359436,95.99584226864799,211.4902143171286
833.0000638961792,-149.34833939636687,370.7832315666495
821.0000395774841,381.0375882461718,291.0220468094551
817.0000314712524,379.18112860148284,124.56244358502053
843.000054359436,54.44182046389879,377.41766212292345
831.000030040741,176.55435936863307,374.19733562620274
840.0000333786011,147.95671246460853,252.07181353140845
826.0000348091125,-28.088137353802797,42.50471526795928
817.0000314712524,463.96513292951465,126.67836294160642
843.000054359436,95.99584226864799,377.41766212292345
836.0000252723694,-149.8862015997521,207.56893386667656
829.0000557899475,176.12944461551893,454.8826681249297
838.0000591278076,-148.07070514532785,43.1222184100658
840.0000333786011,230.7689958624494,169.40333624334787
836.0000252723694,147.25215529114104,417.586230123424
832.0000171661377,217.77861345396266,374.64762744865385
859.000027179718,24.27522462369959,171.01038331689904
836.0000252723694,-180.25070522363902,86.32183499680175
815.000057220459,431.1131985020292,84.15346690790783
832.0000171661377,301.96072248775897,126.84938948455812
837.0000123977661,95.31259310540162,43.07075751451646
812.000036239624,461.1256918488186,205.81596010126515
809.0000152587891,511.8931413788611,85.62912829172504
864.0000224113464,270.98542436236534,476.32522921809505
818.0000185966492,379.64523659681794,207.3367631484184
825.0000476837158,299.4201986912525,454.82445211187144
853.0000448226929,55.087630250773614,297.9468639426775
869.0000176429749,272.5536255134152,393.559231871391
822.0000267028809,477.46743373129857,167.9021322169737
841.0000205039978,137.22352437325713,376.5222314548201
835.0000381469727,53.92517109466695,42.9678418577479
837.0000123977661,95.31259310540162,127.61170478440398
840.0000333786011,357.1666915749434,86.73485895528728
836.0000252723694,147.25215529114104,333.14628626761834
855.0000190734863,279.25358917050426,172.42839281399537
819.0000653266907,477.84966328341403,250.0122263771208
833.0000638961792,146.72374528506447,498.0673106230609
837.0000123977661,106.17003036674153,168.79832012101585
836.0000252723694,229.670093698834,250.8714691773461
830.0000429153442,21.302362045743624,412.4396210426583
821.0000395774841,-27.918112478601923,446.24040179913464
829.0000557899475,341.7358553870898,42.65909182027718
833.0000638961792,-231.4705234685887,450.60545063592446
490.00000953674316,209.6184736948214,197.8032329196489
838.0000591278076,64.98932528636402,166.829693593302
841.0000205039978,95.76809028509149,459.2891223258322
836.0000252723694,177.6166589150279,43.01929968613218
835.0000381469727,-149.70691419862368,127.3067822994717
843.000054359436,10.700744879952266,292.2706823278445
843.000054359436,135.36281029419987,294.453938220026
813.0000233650208,419.5091211259951,41.83575429746849
837.0000123977661,188.68655355292492,168.79832012101585
835.0000381469727,177.40420153847086,209.48318580679236
833.0000638961792,-220.66497293277004,491.5952388066332
874.0000128746033,271.854347532891,307.5455453797784
834.0000510215759,177.1917441619138,127.15432105700559
838.0000591278076,-230.68581898618794,288.3668621943762
852.0000576972961,55.023050041952125,211.54155297179233
834.0000510215759,218.3021285872699,209.23231098137467
833.0000638961792,176.97928678535672,290.9610124973745
817.0000314712524,463.96513292951465,42.04158867817066
363.0000054836273,-61.315140671121206,179.4400923855156
855.0000190734863,24.162184935453947,254.35875726979472
815.000057220459,505.1175987497327,44.0494127157274
835.0000381469727,-177.86879833492983,166.23244711872886
838.0000591278076,345.4458959566523,294.8777819408623
838.0000591278076,64.98932528636402,249.3013437154595
840.0000333786011,137.06035938594525,43.22513406683435
836.0000252723694,188.4611244949875,250.8714691773461
854.0000319480896,278.9269809978004,258.4847541707331
828.0000686645508,227.47230574648833,415.7346194013113
819.0000653266907,475.7248743480246,84.56649086639337
830.0000429153442,228.02174864085347,332.9048789404613
835.0000381469727,-232.0262678278263,369.51091895262726
849.0000367164612,107.69218440192215,421.88100638960435
835.0000381469727,218.56387835307214,127.3067822994717
853.0000448226929,278.60037282509654,342.1299541870866
857.0000529289246,13.101830866928097,212.7829927423587
872.0000386238098,273.4945536818181,218.7656739752257
370.0000047683716,158.28333623901057,186.7333687139014
839.0000462532043,136.89719439863336,460.3697875905799
817.0000314712524,421.5731307654987,124.56244358502053
838.0000591278076,136.7340294113215,210.23582523654278
852.0000576972961,276.06336153743786,87.9739308307439
859.000027179718,269.4172232113154,130.9658975562349
833.0000638961792,64.60156121284264,86.0120716438307
836.0000252723694,62.66532376745612,333.14628626761834
833.0000638961792,345.5458751441279,208.98143615595697
835.0000381469727,-188.70029223350915,207.3206488723892
841.0000205039978,231.04371730963197,86.83811340627766
839.0000462532043,65.06687717656582,416.91185932473303
834.0000510215759,220.4658330307097,459.78617496102765
835.0000381469727,231.5616710313673,501.4256719512209
840.0000333786011,-109.19722019184475,45.40062031125699
843.000054359436,106.93111116463463,252.9720762685773
1472.0001220703125,702.270383815021,594.2170966055711
817.0000314712524,421.5731307654987,207.0832984918704
836.0000252723694,188.4611244949875,335.3114130331518
801.0000586509705,496.44073351853575,205.10230025890377
834.0000510215759,188.01026637911278,416.58723289557025
852.0000576972961,55.023050041952125,129.89865977145678
836.0000252723694,64.83421688344805,499.8610472136962
836.0000252723694,53.98975130348844,456.5585119030266
847.0000624656677,107.43849584302816,337.5298047233254
832.0000171661377,-190.18083801751158,450.0644824812047
839.0000462532043,12.82664646960762,125.7437399435591
852.0000576972961,278.2737646523927,427.78489171862714
838.0000591278076,-219.8154092702853,249.3013437154595
838.0000591278076,136.7340294113215,127.7641751143853
829.0000557899475,343.8865879945128,126.39200575715972
843.000054359436,275.33425216282876,508.4130156538141
835.0000381469727,188.23569543705014,501.4256719512209
834.0000510215759,313.5051240986209,502.98511702648506
837.0000123977661,-189.15226314170422,125.4439881877402
361.00003123283386,186.27650858128953,164.4273371433233
